importance,name
4237,timestamp
3988,msno_source_type_prob
3097,msno_till_now_cnt
2967,source_type
2929,msno_source_screen_name_prob
2879,msno_timestamp_std
2713,msno_artist_name_prob
2697,msno_source_system_tab_prob
2621,msno_rec_cnt
2553,source_screen_name
2517,member_component_0
2487,time_left
2440,msno_upper_time
2355,msno_language_prob
2305,msno_song_length
2244,msno_lower_time
2107,msno_source_type_4
2103,member_component_2
2031,expiration_date
2024,msno_source_screen_name_16
2013,member_component_3
1984,song_embeddings_dot
1976,member_component_5
1971,member_component_8
1950,member_component_42
1943,member_component_7
1933,msno_timestamp_mean
1917,member_component_36
1913,member_component_45
1897,member_component_21
1893,member_component_43
1885,member_component_25
1862,member_component_46
1860,member_artist_component_15
1855,member_component_17
1854,member_component_41
1849,member_component_6
1842,member_component_27
1838,member_component_34
1832,member_component_47
1823,member_component_39
1823,member_component_12
1819,member_component_22
1814,msno_source_type_9
1813,member_artist_component_12
1784,member_component_20
1783,member_component_35
1780,member_component_23
1763,time_spent
1758,member_artist_component_14
1753,member_component_40
1752,member_component_18
1732,member_component_26
1731,member_component_31
1731,member_component_15
1728,member_component_38
1728,member_artist_component_3
1723,member_component_44
1723,member_artist_component_7
1722,member_artist_component_6
1703,member_component_14
1693,member_artist_component_13
1689,member_component_24
1688,member_component_4
1687,member_component_1
1685,member_component_9
1676,member_artist_component_10
1674,member_component_33
1672,member_component_19
1666,member_component_28
1665,member_component_16
1653,member_artist_component_2
1650,member_component_30
1636,member_artist_component_9
1633,member_artist_component_11
1631,member_component_10
1629,member_artist_component_4
1622,msno_source_screen_name_9
1618,member_component_29
1615,member_artist_component_8
1615,member_component_32
1608,member_component_13
1601,member_artist_component_5
1593,msno_source_system_tab_4
1585,member_component_11
1577,member_artist_component_0
1545,artist_msno_cnt
1515,member_component_37
1469,msno_source_type_7
1466,msno_source_screen_name_12
1460,msno_source_type_1
1438,registration_init_time
1388,msno_source_screen_name_1
1373,member_artist_component_1
1365,msno_source_type_11
1311,source_system_tab
1282,duration
1279,msno_source_screen_name_11
1261,msno_source_screen_name_10
